      ujd      | seeing_new | ub1_zp_new | lmt_mg_new | ccdid | good_pix_area |   ra_ul   |  dec_ul  |   ra_ur   |  dec_ur  |   ra_lr   |  dec_lr  |   ra_ll   |  dec_ll  
---------------+------------+------------+------------+-------+---------------+-----------+----------+-----------+----------+-----------+----------+-----------+----------
 2455198.02663 |        3.2 |       27.8 |     19.796 |     1 |      0.649073 | 211.88462 | 55.88016 | 211.91705 | 54.72918 | 210.92181 | 54.71537 | 210.86024 | 55.86601
 2455198.02663 |          3 |       27.8 |     19.675 |     7 |      0.657175 | 211.92132 | 54.72057 | 211.94706 | 53.56984 | 210.97898 | 53.55888 | 210.92601 | 54.70931
 2455198.02663 |          3 |         28 |     19.967 |     0 |      0.655693 | 210.83951 | 55.86688 | 210.90564 |  54.7176 | 209.91265 | 54.69437 | 209.81758 | 55.84297
 2455198.02663 |        3.1 |       27.7 |     19.928 |     2 |      0.657919 | 212.92743 | 55.88634 | 212.93191 | 54.73502 | 211.93416 | 54.72918 | 211.90034 | 55.88032
 2455198.02663 |        2.7 |       27.9 |     19.874 |     8 |      0.656954 | 212.93421 | 54.72616 | 212.93273 | 53.57491 |  211.9636 | 53.57133 | 211.93768 | 54.72244
 2455198.02663 |        2.5 |       27.9 |     20.048 |     9 |      0.657757 | 213.94647 | 54.72232 | 213.91803 | 53.57107 | 212.94971 | 53.57532 | 212.95084 | 54.72673
 2455198.02663 |          3 |       28.1 |     19.984 |     4 |       0.65719 | 215.02119 | 55.87112 | 214.96439 | 54.72086 | 213.96845 | 54.73323 | 213.99601 | 55.88384
 2455198.02663 |        3.1 |         28 |     20.042 |     5 |       0.64829 | 216.06409 | 55.85089 | 215.97681 | 54.70192 | 214.98341 | 54.72314 | 215.04145 | 55.87268
 2455198.02663 |        2.9 |       27.7 |     19.694 |     6 |      0.657095 | 210.90837 | 54.70561 | 210.96305 | 53.55621 | 209.99735 | 53.53731 | 209.91549 | 54.68617
 2455198.02663 |        2.7 |       27.6 |     19.725 |    10 |      0.657899 | 214.96383 |  54.7114 |  214.9091 | 53.56124 | 213.94132 | 53.57226 | 213.96872 | 54.72279
 2455198.02663 |        3.1 |         28 |     19.784 |    11 |       0.65752 | 215.97499 | 54.69077 | 215.89418 | 53.54166 | 214.92801 | 53.56028 | 214.98177 | 54.70994
 2455198.07128 |        3.2 |       27.6 |     19.791 |     2 |      0.657418 | 212.92495 |  55.8876 | 212.92968 | 54.73624 | 211.93195 | 54.73032 | 211.89787 | 55.88148
 2455198.07128 |        3.3 |       27.8 |     19.757 |     1 |      0.648449 | 211.88209 | 55.88132 | 211.91479 | 54.73034 | 210.91972 | 54.71647 | 210.85789 |  55.8671
 2455198.07128 |        3.2 |         28 |     19.909 |     0 |      0.655039 | 210.83705 | 55.86797 | 210.90352 | 54.71869 | 209.91068 |  54.6954 | 209.81527 | 55.84399
 2455198.07128 |        3.2 |       27.7 |      19.59 |     6 |      0.656461 | 210.90626 |  54.7067 | 210.96124 | 53.55728 | 209.99565 | 53.53828 | 209.91349 | 54.68717
 2455198.07128 |        3.1 |       27.6 |     19.597 |    10 |       0.65715 | 214.96171 | 54.71263 | 214.90724 | 53.56261 |  213.9394 | 53.57358 | 213.96667 | 54.72391
 2455198.07128 |        3.3 |       27.6 |     19.385 |     7 |      0.656527 | 211.91913 | 54.72174 | 211.94515 | 53.57094 | 210.97718 | 53.55993 | 210.92393 | 54.71042
 2455198.07128 |        3.1 |       27.9 |     19.755 |     8 |      0.656356 | 212.93205 | 54.72739 | 212.93093 | 53.57612 | 211.96172 | 53.57245 | 211.93544 | 54.72357
 2455198.07128 |        3.2 |         28 |     19.763 |    11 |      0.655284 | 215.97269 | 54.69223 | 215.89216 |  53.5431 | 214.92603 | 53.56165 | 214.97951 | 54.71133
 2455198.07128 |        3.1 |       27.9 |     19.847 |     9 |      0.657031 |  213.9442 | 54.72362 | 213.91605 | 53.57236 | 212.94785 | 53.57652 | 212.94869 | 54.72794
 2455198.07128 |        3.2 |       27.9 |     19.925 |     5 |      0.647495 | 216.06145 | 55.85232 | 215.97433 | 54.70337 | 214.98108 | 54.72454 | 215.03896 | 55.87406
 2455198.07128 |        3.1 |       28.1 |     19.901 |     4 |      0.656425 | 215.01866 | 55.87253 | 214.96211 | 54.72224 |  213.9662 | 54.73451 | 213.99351 | 55.88516
